,superficie_sembrada_ha_centeno_indefinido_Catamarca,superficie_sembrada_ha_centeno_Ambato_Catamarca,superficie_sembrada_ha_centeno_Andalgalá_Catamarca,superficie_sembrada_ha_centeno_Belén_Catamarca,superficie_sembrada_ha_centeno_Capayán_Catamarca,superficie_sembrada_ha_centeno_Fray Mamerto Esquiú_Catamarca,superficie_sembrada_ha_centeno_Pomán_Catamarca,superficie_sembrada_ha_centeno_Santa María_Catamarca,superficie_sembrada_ha_centeno_Tinogasta_Catamarca,superficie_sembrada_ha_centeno_Valle Viejo_Catamarca,superficie_sembrada_ha_centeno_El Alto_Catamarca,superficie_sembrada_ha_centeno_La Paz_Catamarca,superficie_sembrada_ha_centeno_Capital_Catamarca,superficie_sembrada_ha_centeno_Paclín_Catamarca,superficie_sembrada_ha_centeno_Santa Rosa_Catamarca,superficie_cosechada_ha_centeno_indefinido_Catamarca,superficie_cosechada_ha_centeno_Ambato_Catamarca,superficie_cosechada_ha_centeno_Andalgalá_Catamarca,superficie_cosechada_ha_centeno_Belén_Catamarca,superficie_cosechada_ha_centeno_Capayán_Catamarca,superficie_cosechada_ha_centeno_Fray Mamerto Esquiú_Catamarca,superficie_cosechada_ha_centeno_Pomán_Catamarca,superficie_cosechada_ha_centeno_Santa María_Catamarca,superficie_cosechada_ha_centeno_Tinogasta_Catamarca,superficie_cosechada_ha_centeno_Valle Viejo_Catamarca,superficie_cosechada_ha_centeno_El Alto_Catamarca,superficie_cosechada_ha_centeno_La Paz_Catamarca,superficie_cosechada_ha_centeno_Capital_Catamarca,superficie_cosechada_ha_centeno_Paclín_Catamarca,superficie_cosechada_ha_centeno_Santa Rosa_Catamarca,produccion_tm_centeno_indefinido_Catamarca,produccion_tm_centeno_Ambato_Catamarca,produccion_tm_centeno_Andalgalá_Catamarca,produccion_tm_centeno_Belén_Catamarca,produccion_tm_centeno_Capayán_Catamarca,produccion_tm_centeno_Fray Mamerto Esquiú_Catamarca,produccion_tm_centeno_Pomán_Catamarca,produccion_tm_centeno_Santa María_Catamarca,produccion_tm_centeno_Tinogasta_Catamarca,produccion_tm_centeno_Valle Viejo_Catamarca,produccion_tm_centeno_El Alto_Catamarca,produccion_tm_centeno_La Paz_Catamarca,produccion_tm_centeno_Capital_Catamarca,produccion_tm_centeno_Paclín_Catamarca,produccion_tm_centeno_Santa Rosa_Catamarca,rendimiento_kgxha_centeno_indefinido_Catamarca,rendimiento_kgxha_centeno_Ambato_Catamarca,rendimiento_kgxha_centeno_Andalgalá_Catamarca,rendimiento_kgxha_centeno_Belén_Catamarca,rendimiento_kgxha_centeno_Capayán_Catamarca,rendimiento_kgxha_centeno_Fray Mamerto Esquiú_Catamarca,rendimiento_kgxha_centeno_Pomán_Catamarca,rendimiento_kgxha_centeno_Santa María_Catamarca,rendimiento_kgxha_centeno_Tinogasta_Catamarca,rendimiento_kgxha_centeno_Valle Viejo_Catamarca,rendimiento_kgxha_centeno_El Alto_Catamarca,rendimiento_kgxha_centeno_La Paz_Catamarca,rendimiento_kgxha_centeno_Capital_Catamarca,rendimiento_kgxha_centeno_Paclín_Catamarca,rendimiento_kgxha_centeno_Santa Rosa_Catamarca
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,500.0,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,660.0,,,,,,,,,,,,,,
1926-01-01,820.0,,,,,,,,,,,,,,,370.0,,,,,,,,,,,,,,,202.0,,,,,,,,,,,,,,,546.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,1050.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,1050.0,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,
1930-01-01,1000.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,
1931-01-01,800.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,
1932-01-01,800.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,
1933-01-01,800.0,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,
1934-01-01,900.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,950.0,,,,,,,,,,,,,,
1935-01-01,,100.0,60.0,150.0,90.0,120.0,80.0,90.0,50.0,60.0,,,,,,,40.0,10.0,30.0,20.0,20.0,20.0,30.0,15.0,15.0,,,,,,,26.0,6.0,19.0,13.0,13.0,14.0,20.0,9.0,10.0,,,,,,,650.0,600.0,633.0,650.0,650.0,700.0,667.0,600.0,667.0,,,,,
1936-01-01,,1.0,,,,,1.0,,,,9.0,4.0,,,,,0.0,,,,,0.0,,,,3.0,2.0,,,,,0.0,,,,,0.0,,,,1.0,1.0,,,,,0.0,,,,,0.0,,,,333.0,500.0,,,
1937-01-01,,20.0,10.0,20.0,15.0,20.0,15.0,10.0,30.0,10.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,,,,,
1938-01-01,,,20.0,30.0,10.0,40.0,15.0,30.0,30.0,10.0,10.0,5.0,30.0,10.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
