,superficie_sembrada_ha_centeno_2 de Abril_Chaco,superficie_sembrada_ha_centeno_Campo del Cielo_Chaco,superficie_sembrada_ha_centeno_Resistencia_Chaco,superficie_sembrada_ha_centeno_Tobas_Chaco,superficie_sembrada_ha_centeno_9 de Julio_Chaco,superficie_sembrada_ha_centeno_12 de Octubre_Chaco,superficie_sembrada_ha_centeno_Chacabuco_Chaco,superficie_sembrada_ha_centeno_Fray Justo Santa María de Oro_Chaco,superficie_sembrada_ha_centeno_Independencia_Chaco,superficie_sembrada_ha_centeno_Libertador General San Martín_Chaco,superficie_sembrada_ha_centeno_Mayor Luis J. Fontana_Chaco,superficie_sembrada_ha_centeno_Quitilipi_Chaco,superficie_sembrada_ha_centeno_San Lorenzo_Chaco,superficie_sembrada_ha_centeno_Almirante Brown_Chaco,superficie_sembrada_ha_centeno_General Belgrano_Chaco,superficie_sembrada_ha_centeno_otros departamentos_Chaco,superficie_sembrada_ha_centeno_Maipú_Chaco,superficie_cosechada_ha_centeno_2 de Abril_Chaco,superficie_cosechada_ha_centeno_Campo del Cielo_Chaco,superficie_cosechada_ha_centeno_Resistencia_Chaco,superficie_cosechada_ha_centeno_Tobas_Chaco,superficie_cosechada_ha_centeno_9 de Julio_Chaco,superficie_cosechada_ha_centeno_12 de Octubre_Chaco,superficie_cosechada_ha_centeno_Chacabuco_Chaco,superficie_cosechada_ha_centeno_Fray Justo Santa María de Oro_Chaco,superficie_cosechada_ha_centeno_Independencia_Chaco,superficie_cosechada_ha_centeno_Libertador General San Martín_Chaco,superficie_cosechada_ha_centeno_Mayor Luis J. Fontana_Chaco,superficie_cosechada_ha_centeno_Quitilipi_Chaco,superficie_cosechada_ha_centeno_San Lorenzo_Chaco,superficie_cosechada_ha_centeno_Almirante Brown_Chaco,superficie_cosechada_ha_centeno_General Belgrano_Chaco,superficie_cosechada_ha_centeno_otros departamentos_Chaco,superficie_cosechada_ha_centeno_Maipú_Chaco,produccion_tm_centeno_2 de Abril_Chaco,produccion_tm_centeno_Campo del Cielo_Chaco,produccion_tm_centeno_Resistencia_Chaco,produccion_tm_centeno_Tobas_Chaco,produccion_tm_centeno_9 de Julio_Chaco,produccion_tm_centeno_12 de Octubre_Chaco,produccion_tm_centeno_Chacabuco_Chaco,produccion_tm_centeno_Fray Justo Santa María de Oro_Chaco,produccion_tm_centeno_Independencia_Chaco,produccion_tm_centeno_Libertador General San Martín_Chaco,produccion_tm_centeno_Mayor Luis J. Fontana_Chaco,produccion_tm_centeno_Quitilipi_Chaco,produccion_tm_centeno_San Lorenzo_Chaco,produccion_tm_centeno_Almirante Brown_Chaco,produccion_tm_centeno_General Belgrano_Chaco,produccion_tm_centeno_otros departamentos_Chaco,produccion_tm_centeno_Maipú_Chaco,rendimiento_kgxha_centeno_2 de Abril_Chaco,rendimiento_kgxha_centeno_Campo del Cielo_Chaco,rendimiento_kgxha_centeno_Resistencia_Chaco,rendimiento_kgxha_centeno_Tobas_Chaco,rendimiento_kgxha_centeno_9 de Julio_Chaco,rendimiento_kgxha_centeno_12 de Octubre_Chaco,rendimiento_kgxha_centeno_Chacabuco_Chaco,rendimiento_kgxha_centeno_Fray Justo Santa María de Oro_Chaco,rendimiento_kgxha_centeno_Independencia_Chaco,rendimiento_kgxha_centeno_Libertador General San Martín_Chaco,rendimiento_kgxha_centeno_Mayor Luis J. Fontana_Chaco,rendimiento_kgxha_centeno_Quitilipi_Chaco,rendimiento_kgxha_centeno_San Lorenzo_Chaco,rendimiento_kgxha_centeno_Almirante Brown_Chaco,rendimiento_kgxha_centeno_General Belgrano_Chaco,rendimiento_kgxha_centeno_otros departamentos_Chaco,rendimiento_kgxha_centeno_Maipú_Chaco
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,3200.0,,,,,,,,,,,,,,,,,1024.0,,,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,,
1926-01-01,50.0,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,536.0,,,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,70.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1929-01-01,70.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1930-01-01,120.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1931-01-01,100.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1932-01-01,100.0,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,,
1933-01-01,100.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,
1934-01-01,100.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,,,
1935-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-01-01,,18.0,2.0,18.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
1937-01-01,8.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,,,,319.0,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
