,superficie_sembrada_ha_centeno_Languiñeo_Chubut,superficie_sembrada_ha_centeno_Biedma_Chubut,superficie_sembrada_ha_centeno_Cushamen_Chubut,superficie_sembrada_ha_centeno_Florentino Ameghino_Chubut,superficie_sembrada_ha_centeno_Futaleufú_Chubut,superficie_sembrada_ha_centeno_Gaiman_Chubut,superficie_sembrada_ha_centeno_Sarmiento_Chubut,superficie_sembrada_ha_centeno_Rawson_Chubut,superficie_sembrada_ha_centeno_Escalante_Chubut,superficie_sembrada_ha_centeno_Río Senguer_Chubut,superficie_sembrada_ha_centeno_Tehuelches_Chubut,superficie_sembrada_ha_centeno_otros departamentos_Chubut,superficie_cosechada_ha_centeno_Languiñeo_Chubut,superficie_cosechada_ha_centeno_Biedma_Chubut,superficie_cosechada_ha_centeno_Cushamen_Chubut,superficie_cosechada_ha_centeno_Florentino Ameghino_Chubut,superficie_cosechada_ha_centeno_Futaleufú_Chubut,superficie_cosechada_ha_centeno_Gaiman_Chubut,superficie_cosechada_ha_centeno_Sarmiento_Chubut,superficie_cosechada_ha_centeno_Rawson_Chubut,superficie_cosechada_ha_centeno_Escalante_Chubut,superficie_cosechada_ha_centeno_Río Senguer_Chubut,superficie_cosechada_ha_centeno_Tehuelches_Chubut,superficie_cosechada_ha_centeno_otros departamentos_Chubut,produccion_tm_centeno_Languiñeo_Chubut,produccion_tm_centeno_Biedma_Chubut,produccion_tm_centeno_Cushamen_Chubut,produccion_tm_centeno_Florentino Ameghino_Chubut,produccion_tm_centeno_Futaleufú_Chubut,produccion_tm_centeno_Gaiman_Chubut,produccion_tm_centeno_Sarmiento_Chubut,produccion_tm_centeno_Rawson_Chubut,produccion_tm_centeno_Escalante_Chubut,produccion_tm_centeno_Río Senguer_Chubut,produccion_tm_centeno_Tehuelches_Chubut,produccion_tm_centeno_otros departamentos_Chubut,rendimiento_kgxha_centeno_Languiñeo_Chubut,rendimiento_kgxha_centeno_Biedma_Chubut,rendimiento_kgxha_centeno_Cushamen_Chubut,rendimiento_kgxha_centeno_Florentino Ameghino_Chubut,rendimiento_kgxha_centeno_Futaleufú_Chubut,rendimiento_kgxha_centeno_Gaiman_Chubut,rendimiento_kgxha_centeno_Sarmiento_Chubut,rendimiento_kgxha_centeno_Rawson_Chubut,rendimiento_kgxha_centeno_Escalante_Chubut,rendimiento_kgxha_centeno_Río Senguer_Chubut,rendimiento_kgxha_centeno_Tehuelches_Chubut,rendimiento_kgxha_centeno_otros departamentos_Chubut
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,3000.0,,,,,,,,,,,,960.0,,,,,,,,,,,,576.0,,,,,,,,,,,,600.0,,,,,,,,,,,
1926-01-01,250.0,,,,,,,,,,,,112.0,,,,,,,,,,,,61.0,,,,,,,,,,,,545.0,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,400.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
1929-01-01,400.0,,,,,,,,,,,,150.0,,,,,,,,,,,,144.0,,,,,,,,,,,,960.0,,,,,,,,,,,
1930-01-01,700.0,,,,,,,,,,,,200.0,,,,,,,,,,,,146.0,,,,,,,,,,,,730.0,,,,,,,,,,,
1931-01-01,700.0,,,,,,,,,,,,400.0,,,,,,,,,,,,160.0,,,,,,,,,,,,400.0,,,,,,,,,,,
1932-01-01,700.0,,,,,,,,,,,,350.0,,,,,,,,,,,,210.0,,,,,,,,,,,,600.0,,,,,,,,,,,
1933-01-01,850.0,,,,,,,,,,,,300.0,,,,,,,,,,,,225.0,,,,,,,,,,,,750.0,,,,,,,,,,,
1934-01-01,750.0,,,,,,,,,,,,400.0,,,,,,,,,,,,440.0,,,,,,,,,,,,1100.0,,,,,,,,,,,
1935-01-01,20.0,15.0,90.0,20.0,80.0,50.0,25.0,,,,,,10.0,5.0,50.0,10.0,35.0,20.0,20.0,,,,,,10.0,6.0,48.0,10.0,33.0,21.0,22.0,,,,,,1000.0,1200.0,960.0,1000.0,943.0,1050.0,1100.0,,,,,
1936-01-01,4.0,,50.0,,11.0,,,,,,,,0.0,,50.0,,10.0,,,,,,,,0.0,,29.0,,10.0,,,,,,,,0.0,,580.0,,1000.0,,,,,,,
1937-01-01,,15.0,60.0,15.0,100.0,70.0,40.0,,,,,,,10.0,45.0,10.0,70.0,50.0,25.0,,,,,,,6.0,22.0,6.0,45.0,26.0,10.0,,,,,,,600.0,489.0,600.0,643.0,520.0,400.0,,,,,
1938-01-01,,15.0,45.0,15.0,45.0,60.0,20.0,,,,,,,5.0,25.0,10.0,20.0,30.0,10.0,,,,,,,3.0,16.0,8.0,15.0,20.0,8.0,,,,,,,600.0,640.0,800.0,750.0,667.0,800.0,,,,,
1939-01-01,,10.0,40.0,10.0,60.0,50.0,30.0,,,,,,,10.0,40.0,10.0,60.0,50.0,30.0,,,,,,,5.0,18.0,6.0,32.0,26.0,13.0,,,,,,,500.0,450.0,600.0,533.0,520.0,433.0,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,5.0,35.0,10.0,54.0,30.0,20.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,70.0,,,,,,,,,,,,70.0,,,,,,,,,,,,70.0,,,,,,,,,,,,1000.0,,,,,,,,,
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,70.0,,,,,,,,,,,,50.0,,,,,,,,,,,,50.0,,,,,,,,,,,,1000.0,,,,,,,,,
1947-01-01,,,50.0,,,,,,,,,,,,40.0,,,,,,,,,,,,36.0,,,,,,,,,,,,900.0,,,,,,,,,
1948-01-01,,,50.0,,,60.0,,30.0,,,,,,,40.0,,,40.0,,20.0,,,,,,,36.0,,,36.0,,18.0,,,,,,,900.0,,,900.0,,900.0,,,,
1949-01-01,,,50.0,,,50.0,,28.0,8.0,,,,,,48.0,,,45.0,,25.0,8.0,,,,,,48.0,,,45.0,,25.0,8.0,,,,,,1000.0,,,1000.0,,1000.0,1000.0,,,
