,superficie_sembrada_ha_centeno_Concordia_Entre Ríos,superficie_sembrada_ha_centeno_Diamante_Entre Ríos,superficie_sembrada_ha_centeno_La Paz_Entre Ríos,superficie_sembrada_ha_centeno_Paraná_Entre Ríos,superficie_sembrada_ha_centeno_Victoria_Entre Ríos,superficie_sembrada_ha_centeno_Gualeguay_Entre Ríos,superficie_sembrada_ha_centeno_Gualeguaychú_Entre Ríos,superficie_sembrada_ha_centeno_Nogoyá_Entre Ríos,superficie_sembrada_ha_centeno_Tala_Entre Ríos,superficie_sembrada_ha_centeno_Villaguay_Entre Ríos,superficie_sembrada_ha_centeno_Feliciano_Entre Ríos,superficie_sembrada_ha_centeno_Uruguay_Entre Ríos,superficie_sembrada_ha_centeno_Colón_Entre Ríos,superficie_sembrada_ha_centeno_Federación_Entre Ríos,superficie_cosechada_ha_centeno_Concordia_Entre Ríos,superficie_cosechada_ha_centeno_Diamante_Entre Ríos,superficie_cosechada_ha_centeno_La Paz_Entre Ríos,superficie_cosechada_ha_centeno_Paraná_Entre Ríos,superficie_cosechada_ha_centeno_Victoria_Entre Ríos,superficie_cosechada_ha_centeno_Gualeguay_Entre Ríos,superficie_cosechada_ha_centeno_Gualeguaychú_Entre Ríos,superficie_cosechada_ha_centeno_Nogoyá_Entre Ríos,superficie_cosechada_ha_centeno_Tala_Entre Ríos,superficie_cosechada_ha_centeno_Villaguay_Entre Ríos,superficie_cosechada_ha_centeno_Feliciano_Entre Ríos,superficie_cosechada_ha_centeno_Uruguay_Entre Ríos,superficie_cosechada_ha_centeno_Colón_Entre Ríos,superficie_cosechada_ha_centeno_Federación_Entre Ríos,produccion_tm_centeno_Concordia_Entre Ríos,produccion_tm_centeno_Diamante_Entre Ríos,produccion_tm_centeno_La Paz_Entre Ríos,produccion_tm_centeno_Paraná_Entre Ríos,produccion_tm_centeno_Victoria_Entre Ríos,produccion_tm_centeno_Gualeguay_Entre Ríos,produccion_tm_centeno_Gualeguaychú_Entre Ríos,produccion_tm_centeno_Nogoyá_Entre Ríos,produccion_tm_centeno_Tala_Entre Ríos,produccion_tm_centeno_Villaguay_Entre Ríos,produccion_tm_centeno_Feliciano_Entre Ríos,produccion_tm_centeno_Uruguay_Entre Ríos,produccion_tm_centeno_Colón_Entre Ríos,produccion_tm_centeno_Federación_Entre Ríos,rendimiento_kgxha_centeno_Concordia_Entre Ríos,rendimiento_kgxha_centeno_Diamante_Entre Ríos,rendimiento_kgxha_centeno_La Paz_Entre Ríos,rendimiento_kgxha_centeno_Paraná_Entre Ríos,rendimiento_kgxha_centeno_Victoria_Entre Ríos,rendimiento_kgxha_centeno_Gualeguay_Entre Ríos,rendimiento_kgxha_centeno_Gualeguaychú_Entre Ríos,rendimiento_kgxha_centeno_Nogoyá_Entre Ríos,rendimiento_kgxha_centeno_Tala_Entre Ríos,rendimiento_kgxha_centeno_Villaguay_Entre Ríos,rendimiento_kgxha_centeno_Feliciano_Entre Ríos,rendimiento_kgxha_centeno_Uruguay_Entre Ríos,rendimiento_kgxha_centeno_Colón_Entre Ríos,rendimiento_kgxha_centeno_Federación_Entre Ríos
1923-01-01,10.0,15.0,15.0,25.0,25.0,,,,,,,,,,10.0,15.0,15.0,24.0,25.0,,,,,,,,,,5.0,7.0,10.0,18.0,15.0,,,,,,,,,,500.0,500.0,700.0,750.0,600.0,,,,,,,,,
1924-01-01,,20.0,50.0,30.0,,70.0,,,,,,,,,,17.0,45.0,27.0,,60.0,,,,,,,,,,13.0,27.0,16.0,,42.0,,,,,,,,,,760.0,600.0,600.0,,700.0,,,,,,,,
1925-01-01,,25.0,65.0,35.0,15.0,70.0,,,,,,,,,,20.0,45.0,25.0,12.0,50.0,,,,,,,,,,11.0,29.0,15.0,7.0,30.0,,,,,,,,,,550.0,650.0,600.0,600.0,600.0,,,,,,,,
1926-01-01,,30.0,10.0,10.0,50.0,85.0,100.0,10.0,10.0,5.0,,,,,,30.0,10.0,10.0,50.0,85.0,100.0,10.0,10.0,5.0,,,,,,30.0,11.0,10.0,48.0,90.0,106.0,10.0,10.0,5.0,,,,,,1000.0,1080.0,1040.0,960.0,1060.0,1060.0,1000.0,960.0,1000.0,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,,50.0,130.0,90.0,40.0,120.0,,40.0,30.0,,,,,,,50.0,130.0,90.0,40.0,120.0,,40.0,30.0,,,,,,,44.0,117.0,90.0,36.0,114.0,,28.0,21.0,,,,,,,880.0,900.0,1000.0,900.0,950.0,,700.0,700.0,,,,,
1929-01-01,,55.0,140.0,95.0,40.0,120.0,,45.0,35.0,,,,,,,54.0,138.0,94.0,39.0,118.0,,44.0,34.0,,,,,,,32.0,110.0,56.0,27.0,80.0,,35.0,24.0,,,,,,,600.0,800.0,600.0,700.0,680.0,,800.0,700.0,,,,,
1930-01-01,,350.0,200.0,100.0,25.0,100.0,,250.0,70.0,,50.0,25.0,,,,100.0,110.0,85.0,25.0,100.0,,100.0,30.0,,0.0,25.0,,,,105.0,110.0,93.0,31.0,92.0,,110.0,36.0,,0.0,22.0,,,,1050.0,1000.0,1100.0,1250.0,920.0,,1100.0,1200.0,,0.0,880.0,,
1931-01-01,5.0,150.0,50.0,100.0,300.0,50.0,20.0,100.0,100.0,30.0,50.0,40.0,5.0,10.0,0.0,150.0,50.0,100.0,250.0,25.0,20.0,100.0,100.0,20.0,0.0,40.0,5.0,0.0,0.0,105.0,30.0,55.0,150.0,15.0,14.0,65.0,50.0,13.0,0.0,30.0,3.0,0.0,0.0,700.0,600.0,550.0,600.0,600.0,700.0,650.0,500.0,650.0,0.0,750.0,600.0,0.0
1932-01-01,10.0,250.0,70.0,200.0,340.0,100.0,20.0,150.0,130.0,30.0,60.0,40.0,10.0,20.0,0.0,220.0,55.0,160.0,240.0,60.0,5.0,100.0,90.0,10.0,40.0,10.0,0.0,10.0,0.0,121.0,22.0,96.0,144.0,22.0,2.0,60.0,54.0,3.0,20.0,3.0,0.0,3.0,0.0,550.0,400.0,600.0,600.0,370.0,360.0,600.0,600.0,300.0,500.0,300.0,0.0,300.0
1933-01-01,,250.0,100.0,250.0,340.0,50.0,355.0,150.0,130.0,20.0,,1180.0,5.0,10.0,,30.0,5.0,20.0,20.0,10.0,30.0,20.0,10.0,5.0,,30.0,5.0,5.0,,24.0,3.0,15.0,16.0,7.0,21.0,14.0,7.0,3.0,,18.0,3.0,3.0,,800.0,600.0,750.0,800.0,700.0,700.0,700.0,700.0,600.0,,600.0,600.0,600.0
1934-01-01,,180.0,50.0,150.0,270.0,50.0,300.0,50.0,80.0,10.0,,180.0,15.0,,,100.0,0.0,50.0,70.0,0.0,50.0,25.0,20.0,0.0,,30.0,15.0,,,90.0,0.0,45.0,63.0,0.0,40.0,20.0,16.0,0.0,,24.0,12.0,,,900.0,0.0,900.0,900.0,0.0,800.0,800.0,800.0,0.0,,800.0,800.0,
1935-01-01,,80.0,25.0,70.0,90.0,15.0,100.0,25.0,20.0,,,70.0,5.0,,,30.0,10.0,5.0,20.0,0.0,50.0,5.0,0.0,,,40.0,4.0,,,18.0,6.0,2.0,13.0,0.0,30.0,2.0,0.0,,,24.0,2.0,,,600.0,600.0,400.0,650.0,0.0,600.0,400.0,0.0,,,600.0,600.0,
1936-01-01,30.0,10.0,100.0,300.0,300.0,1100.0,,30.0,,40.0,,30.0,10.0,10.0,5.0,10.0,20.0,50.0,200.0,100.0,,10.0,,5.0,,10.0,10.0,0.0,1.0,4.0,4.0,12.0,54.0,46.0,,3.0,,2.0,,5.0,7.0,0.0,200.0,400.0,200.0,250.0,270.0,460.0,,300.0,,400.0,,500.0,700.0,0.0
1937-01-01,,80.0,17.0,150.0,200.0,160.0,120.0,30.0,25.0,20.0,,170.0,8.0,,,28.0,10.0,30.0,128.0,140.0,90.0,26.0,10.0,10.0,,30.0,8.0,,,21.0,6.0,30.0,128.0,140.0,49.0,13.0,4.0,8.0,,18.0,5.0,,,700.0,600.0,1000.0,1000.0,1000.0,550.0,510.0,370.0,800.0,,600.0,620.0,
1938-01-01,,90.0,50.0,200.0,180.0,200.0,250.0,60.0,45.0,250.0,,100.0,40.0,,,90.0,40.0,200.0,180.0,150.0,200.0,60.0,45.0,250.0,,70.0,40.0,,,108.0,32.0,240.0,180.0,165.0,180.0,66.0,22.0,175.0,,56.0,40.0,,,1200.0,800.0,1200.0,1000.0,1100.0,900.0,1100.0,489.0,700.0,,800.0,1000.0,
1939-01-01,5.0,100.0,28.0,230.0,200.0,45.0,65.0,35.0,10.0,,8.0,17.0,2.0,,4.0,60.0,18.0,100.0,100.0,9.0,10.0,15.0,0.0,,4.0,14.0,2.0,,2.0,36.0,8.0,60.0,64.0,3.0,5.0,9.0,0.0,,2.0,10.0,1.0,,500.0,600.0,444.0,600.0,640.0,333.0,500.0,600.0,0.0,,500.0,714.0,500.0,
1940-01-01,3.0,100.0,29.0,250.0,1100.0,267.0,99.0,50.0,4.0,,5.0,43.0,,,3.0,50.0,15.0,80.0,490.0,23.0,8.0,15.0,0.0,,5.0,20.0,,,1.0,42.0,6.0,64.0,389.0,13.0,4.0,13.0,0.0,,2.0,15.0,,,500.0,850.0,400.0,800.0,794.0,565.0,500.0,900.0,0.0,,400.0,750.0,,
1941-01-01,3.0,100.0,24.0,290.0,900.0,267.0,99.0,60.0,4.0,,,50.0,,,0.0,70.0,10.0,200.0,650.0,27.0,10.0,42.0,0.0,,,40.0,,,0.0,60.0,4.0,200.0,650.0,19.0,5.0,42.0,0.0,,,20.0,,,0.0,857.0,400.0,1000.0,1000.0,700.0,500.0,1000.0,0.0,,,500.0,,
1942-01-01,18.0,157.0,131.0,194.0,1700.0,1219.0,43.0,309.0,16.0,41.0,10.0,16.0,32.0,,0.0,107.0,10.0,174.0,700.0,247.0,43.0,76.0,8.0,0.0,0.0,16.0,0.0,,0.0,100.0,4.0,200.0,500.0,99.0,19.0,50.0,6.0,0.0,0.0,16.0,0.0,,0.0,934.0,400.0,1149.0,714.0,400.0,450.0,658.0,750.0,0.0,0.0,1000.0,0.0,
1943-01-01,10.0,90.0,60.0,180.0,450.0,1300.0,100.0,50.0,20.0,40.0,10.0,19.0,38.0,,0.0,81.0,20.0,171.0,250.0,150.0,10.0,44.0,2.0,10.0,0.0,18.0,18.0,,0.0,81.0,8.0,171.0,190.0,120.0,8.0,35.0,2.0,7.0,0.0,14.0,14.0,,0.0,1000.0,400.0,1000.0,760.0,800.0,800.0,800.0,1000.0,700.0,0.0,767.0,800.0,
1944-01-01,,60.0,15.0,90.0,425.0,630.0,115.0,60.0,60.0,20.0,,25.0,,,,45.0,0.0,40.0,150.0,510.0,95.0,20.0,50.0,15.0,,15.0,,,,25.0,0.0,20.0,75.0,205.0,24.0,4.0,15.0,9.0,,3.0,,,,550.0,0.0,500.0,500.0,402.0,250.0,200.0,300.0,600.0,,200.0,,
1945-01-01,,400.0,,70.0,425.0,380.0,100.0,60.0,100.0,,,,,,,300.0,,30.0,200.0,100.0,50.0,10.0,20.0,,,,,,,150.0,,15.0,100.0,35.0,25.0,3.0,12.0,,,,,,,500.0,,500.0,500.0,350.0,500.0,330.0,580.0,,,,,
1946-01-01,20.0,710.0,15.0,55.0,500.0,2500.0,,45.0,70.0,212.0,,760.0,150.0,,0.0,300.0,12.0,20.0,100.0,500.0,,10.0,10.0,40.0,,60.0,25.0,,0.0,147.0,3.0,4.0,45.0,100.0,,3.0,3.0,20.0,,18.0,6.0,,0.0,490.0,250.0,210.0,450.0,200.0,,300.0,300.0,500.0,,300.0,250.0,
