,superficie_sembrada_ha_centeno_indefinido_Mendoza,superficie_sembrada_ha_centeno_General Alvear_Mendoza,superficie_sembrada_ha_centeno_Rivadavia_Mendoza,superficie_sembrada_ha_centeno_San Rafael_Mendoza,superficie_sembrada_ha_centeno_Tupungato_Mendoza,superficie_sembrada_ha_centeno_Santa Rosa_Mendoza,superficie_sembrada_ha_centeno_Tunuyán_Mendoza,superficie_sembrada_ha_centeno_Lavalle_Mendoza,superficie_sembrada_ha_centeno_San Carlos_Mendoza,superficie_sembrada_ha_centeno_San Martín_Mendoza,superficie_sembrada_ha_centeno_Las Heras_Mendoza,superficie_sembrada_ha_centeno_Luján de Cuyo_Mendoza,superficie_sembrada_ha_centeno_Malargüe_Mendoza,superficie_sembrada_ha_centeno_La Paz_Mendoza,superficie_sembrada_ha_centeno_otros departamentos_Mendoza,superficie_cosechada_ha_centeno_indefinido_Mendoza,superficie_cosechada_ha_centeno_General Alvear_Mendoza,superficie_cosechada_ha_centeno_Rivadavia_Mendoza,superficie_cosechada_ha_centeno_San Rafael_Mendoza,superficie_cosechada_ha_centeno_Tupungato_Mendoza,superficie_cosechada_ha_centeno_Santa Rosa_Mendoza,superficie_cosechada_ha_centeno_Tunuyán_Mendoza,superficie_cosechada_ha_centeno_Lavalle_Mendoza,superficie_cosechada_ha_centeno_San Carlos_Mendoza,superficie_cosechada_ha_centeno_San Martín_Mendoza,superficie_cosechada_ha_centeno_Las Heras_Mendoza,superficie_cosechada_ha_centeno_Luján de Cuyo_Mendoza,superficie_cosechada_ha_centeno_Malargüe_Mendoza,superficie_cosechada_ha_centeno_La Paz_Mendoza,superficie_cosechada_ha_centeno_otros departamentos_Mendoza,produccion_tm_centeno_indefinido_Mendoza,produccion_tm_centeno_General Alvear_Mendoza,produccion_tm_centeno_Rivadavia_Mendoza,produccion_tm_centeno_San Rafael_Mendoza,produccion_tm_centeno_Tupungato_Mendoza,produccion_tm_centeno_Santa Rosa_Mendoza,produccion_tm_centeno_Tunuyán_Mendoza,produccion_tm_centeno_Lavalle_Mendoza,produccion_tm_centeno_San Carlos_Mendoza,produccion_tm_centeno_San Martín_Mendoza,produccion_tm_centeno_Las Heras_Mendoza,produccion_tm_centeno_Luján de Cuyo_Mendoza,produccion_tm_centeno_Malargüe_Mendoza,produccion_tm_centeno_La Paz_Mendoza,produccion_tm_centeno_otros departamentos_Mendoza,rendimiento_kgxha_centeno_indefinido_Mendoza,rendimiento_kgxha_centeno_General Alvear_Mendoza,rendimiento_kgxha_centeno_Rivadavia_Mendoza,rendimiento_kgxha_centeno_San Rafael_Mendoza,rendimiento_kgxha_centeno_Tupungato_Mendoza,rendimiento_kgxha_centeno_Santa Rosa_Mendoza,rendimiento_kgxha_centeno_Tunuyán_Mendoza,rendimiento_kgxha_centeno_Lavalle_Mendoza,rendimiento_kgxha_centeno_San Carlos_Mendoza,rendimiento_kgxha_centeno_San Martín_Mendoza,rendimiento_kgxha_centeno_Las Heras_Mendoza,rendimiento_kgxha_centeno_Luján de Cuyo_Mendoza,rendimiento_kgxha_centeno_Malargüe_Mendoza,rendimiento_kgxha_centeno_La Paz_Mendoza,rendimiento_kgxha_centeno_otros departamentos_Mendoza
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,150.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,
1926-01-01,4600.0,,,,,,,,,,,,,,,2070.0,,,,,,,,,,,,,,,1130.0,,,,,,,,,,,,,,,546.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,4000.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,2900.0,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,2160.0,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,
1930-01-01,2600.0,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,1350.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,
1931-01-01,2000.0,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,,588.0,,,,,,,,,,,,,,,735.0,,,,,,,,,,,,,,
1932-01-01,2000.0,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,
1933-01-01,1950.0,,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,504.0,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,
1934-01-01,1900.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1210.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,
1935-01-01,,35.0,5.0,100.0,360.0,,,,,,,,,,,,15.0,0.0,80.0,105.0,,,,,,,,,,,,14.0,0.0,70.0,96.0,,,,,,,,,,,,933.0,0.0,875.0,914.0,,,,,,,,,,
1936-01-01,,30.0,3.0,56.0,310.0,1.0,,,,,,,,,,,30.0,3.0,51.0,115.0,1.0,,,,,,,,,,,24.0,3.0,43.0,57.0,1.0,,,,,,,,,,,800.0,1000.0,843.0,500.0,1000.0,,,,,,,,,
1937-01-01,,200.0,100.0,135.0,200.0,50.0,150.0,,,,,,,,,,50.0,30.0,50.0,110.0,10.0,50.0,,,,,,,,,,55.0,25.0,50.0,100.0,10.0,60.0,,,,,,,,,,1100.0,833.0,1000.0,909.0,1000.0,1200.0,,,,,,,,
1938-01-01,,250.0,95.0,180.0,75.0,,,,,,,,,,,,120.0,0.0,135.0,45.0,,,,,,,,,,,,35.0,0.0,43.0,10.0,,,,,,,,,,,,292.0,0.0,319.0,222.0,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,90.0,15.0,45.0,15.0,,,,,,,,,,,,90.0,15.0,45.0,15.0,,,,,,,,,,,,117.0,19.0,54.0,16.0,,,,,,,,,,,,1300.0,1250.0,1200.0,1100.0,,,,,,,,,,
1941-01-01,,200.0,60.0,600.0,100.0,,100.0,10.0,200.0,49.0,,,,,,,200.0,60.0,600.0,100.0,,100.0,10.0,200.0,49.0,,,,,,,280.0,78.0,780.0,140.0,,140.0,12.0,256.0,64.0,,,,,,,1400.0,1300.0,1300.0,1400.0,,1400.0,1200.0,1280.0,1300.0,,,,,
