,superficie_sembrada_ha_centeno_indefinido_Neuquén,superficie_sembrada_ha_centeno_Aluminé_Neuquén,superficie_sembrada_ha_centeno_Chos Malal_Neuquén,superficie_sembrada_ha_centeno_Collón Curá_Neuquén,superficie_sembrada_ha_centeno_Confluencia_Neuquén,superficie_sembrada_ha_centeno_Huiliches_Neuquén,superficie_sembrada_ha_centeno_Las Minas_Neuquén,superficie_sembrada_ha_centeno_Los Lagos_Neuquén,superficie_sembrada_ha_centeno_Lácar_Neuquén,superficie_sembrada_ha_centeno_Pehuenches_Neuquén,superficie_sembrada_ha_centeno_Zapala_Neuquén,superficie_sembrada_ha_centeno_Picunches_Neuquén,superficie_sembrada_ha_centeno_Picún Leufú_Neuquén,superficie_sembrada_ha_centeno_Minas_Neuquén,superficie_sembrada_ha_centeno_otros departamentos_Neuquén,superficie_sembrada_ha_centeno_Ñorquín_Neuquén,superficie_cosechada_ha_centeno_indefinido_Neuquén,superficie_cosechada_ha_centeno_Aluminé_Neuquén,superficie_cosechada_ha_centeno_Chos Malal_Neuquén,superficie_cosechada_ha_centeno_Collón Curá_Neuquén,superficie_cosechada_ha_centeno_Confluencia_Neuquén,superficie_cosechada_ha_centeno_Huiliches_Neuquén,superficie_cosechada_ha_centeno_Las Minas_Neuquén,superficie_cosechada_ha_centeno_Los Lagos_Neuquén,superficie_cosechada_ha_centeno_Lácar_Neuquén,superficie_cosechada_ha_centeno_Pehuenches_Neuquén,superficie_cosechada_ha_centeno_Zapala_Neuquén,superficie_cosechada_ha_centeno_Picunches_Neuquén,superficie_cosechada_ha_centeno_Picún Leufú_Neuquén,superficie_cosechada_ha_centeno_Minas_Neuquén,superficie_cosechada_ha_centeno_otros departamentos_Neuquén,superficie_cosechada_ha_centeno_Ñorquín_Neuquén,produccion_tm_centeno_indefinido_Neuquén,produccion_tm_centeno_Aluminé_Neuquén,produccion_tm_centeno_Chos Malal_Neuquén,produccion_tm_centeno_Collón Curá_Neuquén,produccion_tm_centeno_Confluencia_Neuquén,produccion_tm_centeno_Huiliches_Neuquén,produccion_tm_centeno_Las Minas_Neuquén,produccion_tm_centeno_Los Lagos_Neuquén,produccion_tm_centeno_Lácar_Neuquén,produccion_tm_centeno_Pehuenches_Neuquén,produccion_tm_centeno_Zapala_Neuquén,produccion_tm_centeno_Picunches_Neuquén,produccion_tm_centeno_Picún Leufú_Neuquén,produccion_tm_centeno_Minas_Neuquén,produccion_tm_centeno_otros departamentos_Neuquén,produccion_tm_centeno_Ñorquín_Neuquén,rendimiento_kgxha_centeno_indefinido_Neuquén,rendimiento_kgxha_centeno_Aluminé_Neuquén,rendimiento_kgxha_centeno_Chos Malal_Neuquén,rendimiento_kgxha_centeno_Collón Curá_Neuquén,rendimiento_kgxha_centeno_Confluencia_Neuquén,rendimiento_kgxha_centeno_Huiliches_Neuquén,rendimiento_kgxha_centeno_Las Minas_Neuquén,rendimiento_kgxha_centeno_Los Lagos_Neuquén,rendimiento_kgxha_centeno_Lácar_Neuquén,rendimiento_kgxha_centeno_Pehuenches_Neuquén,rendimiento_kgxha_centeno_Zapala_Neuquén,rendimiento_kgxha_centeno_Picunches_Neuquén,rendimiento_kgxha_centeno_Picún Leufú_Neuquén,rendimiento_kgxha_centeno_Minas_Neuquén,rendimiento_kgxha_centeno_otros departamentos_Neuquén,rendimiento_kgxha_centeno_Ñorquín_Neuquén
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,2770.0,,,,,,,,,,,,,,,,886.0,,,,,,,,,,,,,,,,841.0,,,,,,,,,,,,,,,,950.0,,,,,,,,,,,,,,,
1926-01-01,1060.0,,,,,,,,,,,,,,,,475.0,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,547.0,,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,2600.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1929-01-01,2600.0,,,,,,,,,,,,,,,,1700.0,,,,,,,,,,,,,,,,1666.0,,,,,,,,,,,,,,,,980.0,,,,,,,,,,,,,,,
1930-01-01,2600.0,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,603.0,,,,,,,,,,,,,,,,670.0,,,,,,,,,,,,,,,
1931-01-01,2900.0,,,,,,,,,,,,,,,,1900.0,,,,,,,,,,,,,,,,1102.0,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,,,,
1932-01-01,2900.0,,,,,,,,,,,,,,,,1400.0,,,,,,,,,,,,,,,,840.0,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,
1933-01-01,2300.0,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,,
1934-01-01,2900.0,,,,,,,,,,,,,,,,1750.0,,,,,,,,,,,,,,,,1925.0,,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,
1935-01-01,,80.0,50.0,60.0,220.0,400.0,120.0,200.0,500.0,200.0,70.0,,,,,,,30.0,20.0,20.0,90.0,200.0,40.0,115.0,230.0,110.0,45.0,,,,,,,26.0,17.0,18.0,80.0,180.0,37.0,115.0,190.0,107.0,40.0,,,,,,,867.0,850.0,900.0,889.0,900.0,925.0,1000.0,826.0,963.0,889.0,,,,,
1936-01-01,,,,,1.0,44.0,1.0,12.0,20.0,,2.0,,,,,,,,,,1.0,44.0,1.0,8.0,16.0,,0.0,,,,,,,,,,1.0,13.0,1.0,8.0,7.0,,0.0,,,,,,,,,,1000.0,289.0,1000.0,1000.0,437.0,,0.0,,,,,
1937-01-01,,50.0,20.0,10.0,100.0,20.0,50.0,80.0,100.0,50.0,20.0,,,,,,,0.0,2.0,0.0,10.0,0.0,6.0,5.0,5.0,2.0,0.0,,,,,,,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,,,,,,,0.0,500.0,0.0,200.0,0.0,333.0,400.0,400.0,500.0,0.0,,,,,
1938-01-01,,125.0,,,140.0,50.0,50.0,40.0,300.0,,50.0,15.0,30.0,,,,,113.0,,,126.0,45.0,47.0,39.0,265.0,,45.0,13.0,27.0,,,,,55.0,,,65.0,22.0,23.0,20.0,130.0,,25.0,6.0,14.0,,,,,487.0,,,516.0,489.0,489.0,513.0,491.0,,556.0,462.0,519.0,,,
