,superficie_sembrada_ha_centeno_indefinido_Río Negro,superficie_sembrada_ha_centeno_Adolfo Alsina_Río Negro,superficie_sembrada_ha_centeno_Avellaneda_Río Negro,superficie_sembrada_ha_centeno_Bariloche_Río Negro,superficie_sembrada_ha_centeno_General Roca_Río Negro,superficie_sembrada_ha_centeno_Pilcaniyeu_Río Negro,superficie_sembrada_ha_centeno_General Conesa_Río Negro,superficie_sembrada_ha_centeno_San Antonio_Río Negro,superficie_sembrada_ha_centeno_25 de Mayo_Río Negro,superficie_sembrada_ha_centeno_El Cuy_Río Negro,superficie_sembrada_ha_centeno_Valcheta_Río Negro,superficie_sembrada_ha_centeno_Ñorquinco_Río Negro,superficie_sembrada_ha_centeno_Pichi Mahuida_Río Negro,superficie_sembrada_ha_centeno_Conesa_Río Negro,superficie_sembrada_ha_centeno_otros departamentos_Río Negro,superficie_cosechada_ha_centeno_indefinido_Río Negro,superficie_cosechada_ha_centeno_Adolfo Alsina_Río Negro,superficie_cosechada_ha_centeno_Avellaneda_Río Negro,superficie_cosechada_ha_centeno_Bariloche_Río Negro,superficie_cosechada_ha_centeno_General Roca_Río Negro,superficie_cosechada_ha_centeno_Pilcaniyeu_Río Negro,superficie_cosechada_ha_centeno_General Conesa_Río Negro,superficie_cosechada_ha_centeno_San Antonio_Río Negro,superficie_cosechada_ha_centeno_25 de Mayo_Río Negro,superficie_cosechada_ha_centeno_El Cuy_Río Negro,superficie_cosechada_ha_centeno_Valcheta_Río Negro,superficie_cosechada_ha_centeno_Ñorquinco_Río Negro,superficie_cosechada_ha_centeno_Pichi Mahuida_Río Negro,superficie_cosechada_ha_centeno_Conesa_Río Negro,superficie_cosechada_ha_centeno_otros departamentos_Río Negro,produccion_tm_centeno_indefinido_Río Negro,produccion_tm_centeno_Adolfo Alsina_Río Negro,produccion_tm_centeno_Avellaneda_Río Negro,produccion_tm_centeno_Bariloche_Río Negro,produccion_tm_centeno_General Roca_Río Negro,produccion_tm_centeno_Pilcaniyeu_Río Negro,produccion_tm_centeno_General Conesa_Río Negro,produccion_tm_centeno_San Antonio_Río Negro,produccion_tm_centeno_25 de Mayo_Río Negro,produccion_tm_centeno_El Cuy_Río Negro,produccion_tm_centeno_Valcheta_Río Negro,produccion_tm_centeno_Ñorquinco_Río Negro,produccion_tm_centeno_Pichi Mahuida_Río Negro,produccion_tm_centeno_Conesa_Río Negro,produccion_tm_centeno_otros departamentos_Río Negro,rendimiento_kgxha_centeno_indefinido_Río Negro,rendimiento_kgxha_centeno_Adolfo Alsina_Río Negro,rendimiento_kgxha_centeno_Avellaneda_Río Negro,rendimiento_kgxha_centeno_Bariloche_Río Negro,rendimiento_kgxha_centeno_General Roca_Río Negro,rendimiento_kgxha_centeno_Pilcaniyeu_Río Negro,rendimiento_kgxha_centeno_General Conesa_Río Negro,rendimiento_kgxha_centeno_San Antonio_Río Negro,rendimiento_kgxha_centeno_25 de Mayo_Río Negro,rendimiento_kgxha_centeno_El Cuy_Río Negro,rendimiento_kgxha_centeno_Valcheta_Río Negro,rendimiento_kgxha_centeno_Ñorquinco_Río Negro,rendimiento_kgxha_centeno_Pichi Mahuida_Río Negro,rendimiento_kgxha_centeno_Conesa_Río Negro,rendimiento_kgxha_centeno_otros departamentos_Río Negro
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,3100.0,,,,,,,,,,,,,,,992.0,,,,,,,,,,,,,,,923.0,,,,,,,,,,,,,,,930.0,,,,,,,,,,,,,,
1926-01-01,1050.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,2500.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,2500.0,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,1712.0,,,,,,,,,,,,,,,1070.0,,,,,,,,,,,,,,
1930-01-01,2500.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,
1931-01-01,1850.0,,,,,,,,,,,,,,,1350.0,,,,,,,,,,,,,,,810.0,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,
1932-01-01,1850.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,585.0,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,
1933-01-01,2200.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,720.0,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,
1934-01-01,1950.0,,,,,,,,,,,,,,,1050.0,,,,,,,,,,,,,,,1260.0,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,
1935-01-01,,250.0,100.0,50.0,80.0,20.0,,,,,,,,,,,100.0,35.0,20.0,40.0,5.0,,,,,,,,,,,90.0,35.0,19.0,40.0,6.0,,,,,,,,,,,900.0,1000.0,950.0,1000.0,1200.0,,,,,,,,,
1936-01-01,,443.0,,113.0,,44.0,,,,,,,,,,,256.0,,104.0,,40.0,,,,,,,,,,,136.0,,67.0,,21.0,,,,,,,,,,,531.0,,649.0,,525.0,,,,,,,,,
1937-01-01,,300.0,120.0,50.0,100.0,30.0,,,,,,,,,,,140.0,70.0,20.0,55.0,15.0,,,,,,,,,,,54.0,25.0,7.0,20.0,8.0,,,,,,,,,,,386.0,357.0,350.0,364.0,533.0,,,,,,,,,
1938-01-01,,150.0,50.0,30.0,,,50.0,20.0,,,,,,,,,135.0,46.0,26.0,,,44.0,19.0,,,,,,,,,88.0,30.0,15.0,,,25.0,12.0,,,,,,,,,652.0,652.0,577.0,,,568.0,632.0,,,,,,,
1939-01-01,,497.0,156.0,86.0,168.0,23.0,5.0,,,,,,,,,,497.0,156.0,86.0,168.0,23.0,5.0,,,,,,,,,,208.0,68.0,42.0,68.0,11.0,3.0,,,,,,,,,,418.0,436.0,488.0,405.0,478.0,600.0,,,,,,,,
1940-01-01,,437.0,156.0,100.0,163.0,,,84.0,,,,,,,,,427.0,156.0,100.0,157.0,,,84.0,,,,,,,,,253.0,86.0,60.0,75.0,,,42.0,,,,,,,,,592.0,551.0,600.0,484.0,,,500.0,,,,,,,
1941-01-01,,437.0,156.0,100.0,113.0,,,84.0,,,,,,,,,237.0,156.0,50.0,113.0,,,34.0,,,,,,,,,118.4,85.8,30.0,67.8,,,17.0,,,,,,,,,500.0,550.0,600.0,600.0,,,500.0,,,,,,,
