,superficie_sembrada_ha_centeno_indefinido_San Juan,superficie_sembrada_ha_centeno_25 de Mayo_San Juan,superficie_sembrada_ha_centeno_Caucete_San Juan,superficie_sembrada_ha_centeno_Jáchal_San Juan,superficie_sembrada_ha_centeno_Pocito_San Juan,superficie_sembrada_ha_centeno_Sarmiento_San Juan,superficie_sembrada_ha_centeno_Capital_San Juan,superficie_sembrada_ha_centeno_Iglesia_San Juan,superficie_sembrada_ha_centeno_San Martín_San Juan,superficie_sembrada_ha_centeno_Ullum_San Juan,superficie_sembrada_ha_centeno_Zonda_San Juan,superficie_cosechada_ha_centeno_indefinido_San Juan,superficie_cosechada_ha_centeno_25 de Mayo_San Juan,superficie_cosechada_ha_centeno_Caucete_San Juan,superficie_cosechada_ha_centeno_Jáchal_San Juan,superficie_cosechada_ha_centeno_Pocito_San Juan,superficie_cosechada_ha_centeno_Sarmiento_San Juan,superficie_cosechada_ha_centeno_Capital_San Juan,superficie_cosechada_ha_centeno_Iglesia_San Juan,superficie_cosechada_ha_centeno_San Martín_San Juan,superficie_cosechada_ha_centeno_Ullum_San Juan,superficie_cosechada_ha_centeno_Zonda_San Juan,produccion_tm_centeno_indefinido_San Juan,produccion_tm_centeno_25 de Mayo_San Juan,produccion_tm_centeno_Caucete_San Juan,produccion_tm_centeno_Jáchal_San Juan,produccion_tm_centeno_Pocito_San Juan,produccion_tm_centeno_Sarmiento_San Juan,produccion_tm_centeno_Capital_San Juan,produccion_tm_centeno_Iglesia_San Juan,produccion_tm_centeno_San Martín_San Juan,produccion_tm_centeno_Ullum_San Juan,produccion_tm_centeno_Zonda_San Juan,rendimiento_kgxha_centeno_indefinido_San Juan,rendimiento_kgxha_centeno_25 de Mayo_San Juan,rendimiento_kgxha_centeno_Caucete_San Juan,rendimiento_kgxha_centeno_Jáchal_San Juan,rendimiento_kgxha_centeno_Pocito_San Juan,rendimiento_kgxha_centeno_Sarmiento_San Juan,rendimiento_kgxha_centeno_Capital_San Juan,rendimiento_kgxha_centeno_Iglesia_San Juan,rendimiento_kgxha_centeno_San Martín_San Juan,rendimiento_kgxha_centeno_Ullum_San Juan,rendimiento_kgxha_centeno_Zonda_San Juan
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,1100.0,,,,,,,,,,,352.0,,,,,,,,,,,264.0,,,,,,,,,,,750.0,,,,,,,,,,
1926-01-01,1550.0,,,,,,,,,,,700.0,,,,,,,,,,,382.0,,,,,,,,,,,546.0,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,1400.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
1929-01-01,1450.0,,,,,,,,,,,800.0,,,,,,,,,,,880.0,,,,,,,,,,,1100.0,,,,,,,,,,
1930-01-01,1250.0,,,,,,,,,,,300.0,,,,,,,,,,,237.0,,,,,,,,,,,790.0,,,,,,,,,,
1931-01-01,500.0,,,,,,,,,,,200.0,,,,,,,,,,,300.0,,,,,,,,,,,1500.0,,,,,,,,,,
1932-01-01,500.0,,,,,,,,,,,250.0,,,,,,,,,,,165.0,,,,,,,,,,,660.0,,,,,,,,,,
1933-01-01,480.0,,,,,,,,,,,160.0,,,,,,,,,,,128.0,,,,,,,,,,,800.0,,,,,,,,,,
1934-01-01,500.0,,,,,,,,,,,250.0,,,,,,,,,,,275.0,,,,,,,,,,,1100.0,,,,,,,,,,
1935-01-01,,40.0,25.0,15.0,40.0,80.0,,,,,,,25.0,10.0,10.0,20.0,35.0,,,,,,,22.0,9.0,10.0,16.0,33.0,,,,,,,880.0,900.0,1000.0,800.0,943.0,,,,,
1936-01-01,,,1.0,,,23.0,10.0,1.0,,,,,,1.0,,,23.0,10.0,1.0,,,,,,2.0,,,28.0,11.0,1.0,,,,,,2000.0,,,1200.0,1100.0,1000.0,,,
1937-01-01,,20.0,10.0,10.0,20.0,40.0,,,,,,,20.0,10.0,10.0,20.0,40.0,,,,,,,10.0,6.0,4.0,12.0,18.0,,,,,,,500.0,600.0,400.0,600.0,450.0,,,,,
1938-01-01,,,20.0,,20.0,60.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,26.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
1943-01-01,,,6.0,,,,,,10.0,1.0,9.0,,,6.0,,,,,,8.0,1.0,8.0,,,5.0,,,,,,7.0,1.0,8.0,,,900.0,,,,,,900.0,1000.0,1000.0
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
