,superficie_sembrada_ha_centeno_indefinido_Tucumán,superficie_sembrada_ha_centeno_Cruz Alta_Tucumán,superficie_sembrada_ha_centeno_Graneros_Tucumán,superficie_sembrada_ha_centeno_Monteros_Tucumán,superficie_sembrada_ha_centeno_Río Chico_Tucumán,superficie_sembrada_ha_centeno_Tafí Viejo_Tucumán,superficie_sembrada_ha_centeno_Famaillá_Tucumán,superficie_sembrada_ha_centeno_Leales_Tucumán,superficie_sembrada_ha_centeno_Trancas_Tucumán,superficie_sembrada_ha_centeno_Chicligasta_Tucumán,superficie_sembrada_ha_centeno_Burruyacú_Tucumán,superficie_sembrada_ha_centeno_Capital_Tucumán,superficie_sembrada_ha_centeno_Tafí del Valle_Tucumán,superficie_sembrada_ha_centeno_otros departamentos_Tucumán,superficie_sembrada_ha_centeno_La Cocha_Tucumán,superficie_cosechada_ha_centeno_indefinido_Tucumán,superficie_cosechada_ha_centeno_Cruz Alta_Tucumán,superficie_cosechada_ha_centeno_Graneros_Tucumán,superficie_cosechada_ha_centeno_Monteros_Tucumán,superficie_cosechada_ha_centeno_Río Chico_Tucumán,superficie_cosechada_ha_centeno_Tafí Viejo_Tucumán,superficie_cosechada_ha_centeno_Famaillá_Tucumán,superficie_cosechada_ha_centeno_Leales_Tucumán,superficie_cosechada_ha_centeno_Trancas_Tucumán,superficie_cosechada_ha_centeno_Chicligasta_Tucumán,superficie_cosechada_ha_centeno_Burruyacú_Tucumán,superficie_cosechada_ha_centeno_Capital_Tucumán,superficie_cosechada_ha_centeno_Tafí del Valle_Tucumán,superficie_cosechada_ha_centeno_otros departamentos_Tucumán,superficie_cosechada_ha_centeno_La Cocha_Tucumán,produccion_tm_centeno_indefinido_Tucumán,produccion_tm_centeno_Cruz Alta_Tucumán,produccion_tm_centeno_Graneros_Tucumán,produccion_tm_centeno_Monteros_Tucumán,produccion_tm_centeno_Río Chico_Tucumán,produccion_tm_centeno_Tafí Viejo_Tucumán,produccion_tm_centeno_Famaillá_Tucumán,produccion_tm_centeno_Leales_Tucumán,produccion_tm_centeno_Trancas_Tucumán,produccion_tm_centeno_Chicligasta_Tucumán,produccion_tm_centeno_Burruyacú_Tucumán,produccion_tm_centeno_Capital_Tucumán,produccion_tm_centeno_Tafí del Valle_Tucumán,produccion_tm_centeno_otros departamentos_Tucumán,produccion_tm_centeno_La Cocha_Tucumán,rendimiento_kgxha_centeno_indefinido_Tucumán,rendimiento_kgxha_centeno_Cruz Alta_Tucumán,rendimiento_kgxha_centeno_Graneros_Tucumán,rendimiento_kgxha_centeno_Monteros_Tucumán,rendimiento_kgxha_centeno_Río Chico_Tucumán,rendimiento_kgxha_centeno_Tafí Viejo_Tucumán,rendimiento_kgxha_centeno_Famaillá_Tucumán,rendimiento_kgxha_centeno_Leales_Tucumán,rendimiento_kgxha_centeno_Trancas_Tucumán,rendimiento_kgxha_centeno_Chicligasta_Tucumán,rendimiento_kgxha_centeno_Burruyacú_Tucumán,rendimiento_kgxha_centeno_Capital_Tucumán,rendimiento_kgxha_centeno_Tafí del Valle_Tucumán,rendimiento_kgxha_centeno_otros departamentos_Tucumán,rendimiento_kgxha_centeno_La Cocha_Tucumán
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,770.0,,,,,,,,,,,,,,,246.0,,,,,,,,,,,,,,,184.0,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,
1926-01-01,500.0,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,545.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,650.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,650.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,
1930-01-01,600.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,
1931-01-01,600.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,
1932-01-01,600.0,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,
1933-01-01,700.0,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,
1934-01-01,500.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,950.0,,,,,,,,,,,,,,
1935-01-01,,10.0,50.0,15.0,15.0,10.0,,,,,,,,,,,8.0,20.0,10.0,5.0,7.0,,,,,,,,,,,6.0,17.0,8.0,4.0,5.0,,,,,,,,,,,750.0,850.0,800.0,800.0,714.0,,,,,,,,,
1936-01-01,,1.0,5.0,3.0,,1.0,,,,,,,,,,,0.0,3.0,2.0,,0.0,,,,,,,,,,,0.0,1.0,0.0,,0.0,,,,,,,,,,,0.0,333.0,200.0,,0.0,,,,,,,,,
1937-01-01,14.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
